,Rel Hum_%,Wind Speed_km/h,Press_kPa,Weather,Visiblity
132,74,28,100.23,Snow,19.3
133,74,20,100.13,Snow,24.1
134,75,19,100.07,Snow,19.3
135,79,19,100.06,Snow,12.9
136,78,19,100.1,Snow,19.3
137,78,17,100.15,Snow,25.0
138,78,17,100.12,Cloudy,19.3
139,79,15,100.13,Cloudy,25.0
140,80,11,100.15,Cloudy,25.0
141,79,9,100.13,Cloudy,25.0
142,79,11,100.16,Cloudy,19.3
143,79,7,100.15,Cloudy,16.1
144,79,6,100.13,Cloudy,16.1
145,80,0,100.11,Cloudy,19.3
146,79,4,100.15,Cloudy,19.3
147,79,4,100.12,Cloudy,19.3
148,79,6,100.1,Cloudy,19.3
149,80,4,100.12,Cloudy,19.3
150,80,7,100.12,Cloudy,16.1
151,81,7,100.16,Cloudy,16.1
152,82,9,100.1,"Freezing Drizzle,Fog",8.0
153,82,7,100.15,"Freezing Rain,Fog",9.7
154,84,7,100.13,Freezing Rain,8.0
155,84,9,100.08,Freezing Drizzle,9.7
156,84,13,100.05,Freezing Drizzle,9.7
157,83,15,100.07,Freezing Rain,9.7
158,83,6,100.09,Snow,8.0
159,83,11,100.09,Snow,8.0
160,84,0,100.15,Snow,8.0
161,84,13,100.27,Snow,8.0
162,85,6,100.33,Snow,9.7
163,86,6,100.41,Snow,8.0
164,87,4,100.48,Snow,9.7
165,88,0,100.5,Snow,6.4
166,89,4,100.54,Fog,4.0
167,87,22,100.62,Snow,9.7
168,76,32,100.72,Cloudy,25.0
169,74,32,100.8,Mostly Cloudy,25.0
170,71,30,100.98,Mostly Cloudy,25.0
171,69,32,101.13,Mainly Clear,25.0
172,69,22,101.21,Mainly Clear,25.0
173,70,13,101.33,Mainly Clear,25.0
174,68,13,101.47,Cloudy,25.0
175,69,11,101.59,Cloudy,25.0
176,69,11,101.7,Snow,24.1
177,65,17,101.81,Snow,24.1
178,67,17,101.89,Snow,9.7
179,65,22,101.92,Snow,24.1
180,66,15,101.9,Snow,24.1
181,63,15,101.94,Cloudy,24.1
182,65,19,101.97,Mostly Cloudy,24.1
183,61,20,102.04,Mostly Cloudy,48.3
184,59,20,102.09,Mostly Cloudy,24.1
185,59,17,102.17,Mainly Clear,25.0
186,62,17,102.23,Mainly Clear,25.0
187,62,15,102.26,Mostly Cloudy,25.0
188,65,15,102.28,Mostly Cloudy,25.0
189,64,11,102.26,Mostly Cloudy,25.0
190,65,7,102.22,Mostly Cloudy,25.0
191,68,7,102.22,Mostly Cloudy,25.0
192,66,6,102.17,Mostly Cloudy,25.0
193,68,0,102.13,Mostly Cloudy,25.0
194,66,4,102.15,Mostly Cloudy,25.0
195,70,0,102.11,Cloudy,25.0
196,69,9,102.02,Cloudy,25.0
197,71,11,101.93,Cloudy,25.0
198,72,11,101.86,Cloudy,25.0
199,72,15,101.8,Mostly Cloudy,25.0
200,70,13,101.74,Snow,16.1
201,75,11,101.68,Snow,12.9
202,76,9,101.64,Snow,16.1
203,77,7,101.54,Snow,24.1
204,73,9,101.4,Cloudy,24.1
205,74,7,101.27,Cloudy,24.1
206,76,7,101.2,Cloudy,24.1
207,74,9,101.13,Mostly Cloudy,24.1
208,72,11,101.05,Mostly Cloudy,24.1
209,72,15,100.96,Mostly Cloudy,24.1
210,71,20,100.9,Mostly Cloudy,25.0
211,70,19,100.83,Mostly Cloudy,25.0
212,70,15,100.77,Mostly Cloudy,25.0
213,71,11,100.64,Mostly Cloudy,25.0
214,64,19,100.54,Mostly Cloudy,25.0
215,64,17,100.45,Cloudy,25.0
216,57,30,100.38,Cloudy,25.0
217,66,35,100.28,Snow,25.0
218,75,19,100.23,Snow,6.4
219,77,28,100.16,Snow,25.0
220,81,26,100.07,Cloudy,25.0
221,86,30,100.02,"Rain,Snow",9.7
222,87,30,100.04,Snow,8.0
223,85,20,100.08,Snow,8.0
224,85,24,100.11,Cloudy,16.1
225,84,17,100.23,Cloudy,19.3
226,81,24,100.27,Mostly Cloudy,24.1
227,77,22,100.29,Mainly Clear,24.1
228,72,30,100.32,Mostly Cloudy,24.1
229,64,26,100.36,Mostly Cloudy,24.1
230,64,26,100.45,Mainly Clear,24.1
231,61,30,100.65,Mainly Clear,24.1
232,55,30,100.81,Mostly Cloudy,24.1
233,54,17,100.91,Mostly Cloudy,24.1
234,54,15,101.04,Mostly Cloudy,25.0
235,53,15,101.15,Mostly Cloudy,25.0
236,53,13,101.24,Mostly Cloudy,25.0
237,57,9,101.32,Mostly Cloudy,25.0
238,55,13,101.34,Mostly Cloudy,25.0
239,57,19,101.44,Mostly Cloudy,25.0
240,55,17,101.43,Mostly Cloudy,25.0
241,56,17,101.49,Clear,25.0
242,56,19,101.57,Clear,25.0
243,57,19,101.64,Clear,25.0
244,57,17,101.66,Clear,25.0
245,55,19,101.66,Mainly Clear,25.0
246,57,20,101.72,Mainly Clear,25.0
247,57,13,101.77,Mostly Cloudy,25.0
248,57,15,101.8,Mostly Cloudy,24.1
249,58,15,101.81,Mostly Cloudy,24.1
250,55,11,101.89,Cloudy,19.3
251,54,15,101.78,Mostly Cloudy,24.1
252,53,17,101.68,Cloudy,24.1
253,52,19,101.63,Mostly Cloudy,24.1
254,52,20,101.56,Mostly Cloudy,24.1
255,50,20,101.61,Mostly Cloudy,24.1
256,47,20,101.6,Mostly Cloudy,24.1
257,51,26,101.56,Mostly Cloudy,24.1
258,52,24,101.51,Mostly Cloudy,25.0
259,54,30,101.43,Mostly Cloudy,25.0
260,57,24,101.4,Cloudy,25.0
261,65,19,101.32,Cloudy,25.0
262,65,22,101.29,Cloudy,25.0
263,67,20,101.19,Mostly Cloudy,25.0
264,66,19,101.17,Mostly Cloudy,25.0
265,65,24,101.13,Mostly Cloudy,25.0
266,64,26,101.08,Cloudy,25.0
267,63,33,101.02,Cloudy,25.0
268,64,22,100.93,Cloudy,25.0
269,64,30,100.81,Cloudy,25.0
270,65,28,100.76,Cloudy,25.0
271,65,28,100.69,Snow Showers,16.1
272,72,33,100.61,Snow,6.4
273,75,33,100.54,Snow,3.2
274,77,35,100.46,Snow,4.8
275,76,32,100.35,Snow,2.0
276,79,32,100.22,Snow,4.8
277,81,33,100.09,Snow,1.2
278,81,28,99.97,Snow,1.2
279,83,26,99.9,Moderate Snow,0.8
280,83,33,99.88,Moderate Snow,0.6
281,83,33,99.83,Snow,1.0
282,81,35,99.76,Snow,1.2
283,82,30,99.72,Snow,4.0
284,81,28,99.64,Snow,6.4
285,80,24,99.56,Snow,6.4
286,81,26,99.47,Snow,25.0
287,83,28,99.4,Snow,3.2
288,83,28,99.3,Snow,2.4
289,81,24,99.24,Snow,4.8
290,81,22,99.22,Snow,25.0
291,83,19,99.19,"Freezing Drizzle,Snow",4.8
292,83,24,99.13,Cloudy,11.3
293,82,20,99.06,Cloudy,12.9
294,83,22,98.94,Cloudy,16.1
295,82,22,98.84,Cloudy,16.1
296,83,26,98.69,Freezing Rain,8.0
297,84,32,98.56,"Freezing Rain,Snow Grains",4.8
298,83,26,98.44,Freezing Drizzle,12.9
299,83,28,98.22,Freezing Rain,9.7
300,81,24,98.07,Snow,2.0
301,83,20,97.99,Snow,1.2
302,85,6,98.07,Snow,2.0
303,85,13,98.1,Snow,8.0
304,84,11,98.16,Snow,6.4
305,87,15,98.23,Snow,1.6
306,89,26,98.32,Snow,16.1
307,86,33,98.6,Snow,2.0
308,87,32,98.89,Snow,2.0
309,79,37,99.09,"Snow,Blowing Snow",4.8
310,70,32,99.28,Snow,12.9
311,75,35,99.51,"Snow,Blowing Snow",9.7
312,72,39,99.67,"Snow,Blowing Snow",9.7
313,69,24,99.85,Snow,12.9
314,70,28,100.01,"Snow,Blowing Snow",9.7
315,71,24,100.16,"Snow,Blowing Snow",8.0
316,63,20,100.26,Snow,16.1
317,63,24,100.39,Cloudy,25.0
318,63,24,100.6,Cloudy,25.0
319,63,26,100.73,Mostly Cloudy,25.0
320,62,20,100.84,Mostly Cloudy,24.1
321,61,19,100.97,Cloudy,24.1
322,60,22,101.08,Mostly Cloudy,24.1
323,59,20,101.14,Mostly Cloudy,24.1
324,58,20,101.16,Mostly Cloudy,48.3
325,55,17,101.18,Mainly Clear,48.3
326,56,17,101.2,Mostly Cloudy,48.3
327,56,22,101.24,Mostly Cloudy,48.3
328,52,19,101.3,Mostly Cloudy,24.1
329,54,13,101.36,Mostly Cloudy,25.0
330,56,20,101.46,Mainly Clear,25.0
331,59,17,101.56,Mainly Clear,25.0
332,58,13,101.62,Mainly Clear,25.0
333,59,11,101.65,Mostly Cloudy,25.0
334,58,13,101.74,Mostly Cloudy,25.0
335,59,9,101.79,Mostly Cloudy,25.0
336,61,11,101.81,Cloudy,25.0
337,61,9,101.86,Cloudy,25.0
338,63,9,101.99,Cloudy,25.0
339,62,4,102.04,Cloudy,25.0
340,61,0,102.12,Cloudy,25.0
341,63,6,102.19,Mostly Cloudy,25.0
342,62,7,102.28,Mostly Cloudy,25.0
343,62,9,102.37,Mainly Clear,25.0
344,62,7,102.45,Clear,24.1
345,60,9,102.57,Mainly Clear,48.3
346,58,9,102.66,Mainly Clear,48.3
347,55,9,102.68,Mainly Clear,48.3
348,52,13,102.67,Mainly Clear,48.3
349,53,20,102.65,Mainly Clear,48.3
350,53,26,102.66,Mainly Clear,48.3
351,53,24,102.71,Clear,48.3
352,52,24,102.79,Clear,48.3
353,55,15,102.85,Clear,25.0
354,57,17,102.89,Clear,25.0
355,58,20,102.94,Clear,25.0
356,61,17,102.98,Clear,25.0
357,63,15,103.02,Clear,25.0
358,66,17,103.07,Clear,25.0
359,68,15,103.09,Clear,25.0
360,66,15,103.09,Clear,25.0
361,65,6,103.05,Clear,25.0
362,68,6,103.08,Clear,25.0
363,67,6,103.07,Clear,25.0
364,66,0,103.05,Clear,25.0
365,69,0,103.02,Clear,25.0
366,68,0,103.01,Clear,25.0
367,73,4,102.96,Mainly Clear,48.3
368,67,9,102.9,Mostly Cloudy,48.3
369,59,22,102.75,Cloudy,48.3
370,65,19,102.62,Mostly Cloudy,48.3
371,66,20,102.44,Mostly Cloudy,48.3
372,60,19,102.17,Mostly Cloudy,48.3
373,61,13,101.92,Cloudy,48.3
374,68,13,101.71,Mostly Cloudy,48.3
375,63,17,101.49,Cloudy,48.3
376,57,9,101.41,Cloudy,48.3
377,56,4,101.34,Mostly Cloudy,25.0
378,66,15,101.31,Mainly Clear,25.0
379,70,15,101.23,Mainly Clear,25.0
380,70,13,101.19,Cloudy,25.0
381,71,11,101.12,Cloudy,25.0
382,70,9,101.05,Cloudy,25.0
383,71,7,100.98,Cloudy,25.0
384,71,9,100.94,Cloudy,25.0
385,71,9,100.88,Cloudy,25.0
386,73,9,100.84,Cloudy,25.0
387,73,6,100.84,Cloudy,25.0
388,78,6,100.8,Freezing Drizzle,6.4
389,85,6,100.75,"Freezing Drizzle,Snow",3.6
390,84,6,100.72,"Freezing Drizzle,Snow",2.4
391,85,9,100.69,Snow,2.0
392,84,9,100.65,Snow,2.4
393,82,15,100.59,Snow,4.0
394,82,15,100.6,Snow,1.2
395,83,15,100.53,Snow,2.4
396,82,19,100.38,Snow,2.8
397,82,22,100.23,Snow,2.4
398,85,22,100.05,Snow,1.6
399,84,24,99.9,Snow,1.2
400,83,28,99.69,Snow,1.2
401,84,22,99.57,Snow,1.6
402,84,22,99.38,Snow,2.4
403,84,24,99.22,"Freezing Drizzle,Snow",4.8
404,85,24,98.98,Freezing Rain,3.2
405,86,26,98.71,Freezing Rain,2.8
406,89,17,98.47,Freezing Rain,3.2
407,90,7,98.32,"Freezing Rain,Fog",2.8
408,90,11,98.31,Fog,8.0
409,66,83,98.36,Mostly Cloudy,25.0
410,72,70,98.62,Mostly Cloudy,25.0
411,70,57,99.0,Mostly Cloudy,25.0
412,69,48,99.36,Snow,25.0
413,69,46,99.7,Snow,19.3
414,65,39,100.0,Mostly Cloudy,19.3
415,64,39,100.22,Mainly Clear,19.3
416,63,35,100.43,Mainly Clear,24.1
417,61,43,100.65,Mainly Clear,24.1
418,61,35,100.78,Mainly Clear,24.1
419,58,39,100.92,Mainly Clear,24.1
420,57,37,101.0,Mainly Clear,24.1
421,55,32,101.09,Mainly Clear,24.1
422,55,28,101.19,Mainly Clear,48.3
423,54,30,101.32,Mainly Clear,48.3
424,53,26,101.45,Mainly Clear,48.3
425,54,26,101.54,Clear,48.3
426,60,22,101.67,Clear,25.0
427,61,22,101.78,Clear,25.0
428,62,17,101.83,Clear,25.0
429,63,17,101.89,Clear,25.0
430,62,13,101.92,Clear,25.0
431,66,6,101.93,Clear,25.0
432,69,7,101.94,Clear,25.0
433,76,4,101.89,Clear,25.0
434,77,6,101.86,Clear,25.0
435,73,6,101.83,Clear,25.0
436,78,7,101.81,Clear,25.0
437,76,6,101.85,Clear,25.0
438,69,6,101.83,Clear,25.0
439,68,6,101.84,Clear,24.1
440,68,19,101.84,Clear,48.3
441,69,17,101.73,Clear,48.3
442,64,20,101.68,Mainly Clear,48.3
443,62,26,101.56,Mostly Cloudy,48.3
444,59,15,101.42,Mostly Cloudy,48.3
445,55,20,101.22,Mostly Cloudy,48.3
446,53,20,101.03,Mostly Cloudy,48.3
447,52,26,100.88,Cloudy,48.3
448,52,24,100.76,Cloudy,24.1
449,54,17,100.7,Cloudy,24.1
450,54,19,100.66,Cloudy,25.0
451,49,30,100.61,Snow,25.0
452,53,30,100.63,Snow,16.1
453,77,24,100.6,Snow,2.0
454,68,32,100.51,Snow,25.0
455,69,26,100.47,Snow,25.0
456,71,26,100.5,Mostly Cloudy,25.0
457,73,20,100.54,Snow,25.0
458,73,22,100.64,Snow,9.7
459,67,19,100.75,Mostly Cloudy,25.0
460,72,19,100.87,Snow,16.1
461,63,33,100.98,Snow,25.0
462,59,28,101.13,Cloudy,25.0
463,57,28,101.27,Mostly Cloudy,25.0
464,62,33,101.47,Mainly Clear,24.1
465,61,32,101.59,Clear,24.1
466,57,33,101.72,Mainly Clear,24.1
467,55,32,101.84,Clear,24.1
468,56,30,101.88,Clear,24.1
469,51,30,101.96,Clear,24.1
470,48,30,101.98,Mainly Clear,48.3
471,47,30,102.09,Mainly Clear,48.3
472,45,24,102.15,Mainly Clear,48.3
473,46,17,102.21,Mainly Clear,48.3
474,48,13,102.27,Mainly Clear,25.0
475,51,13,102.33,Mainly Clear,25.0
476,50,9,102.34,Mainly Clear,25.0
477,54,9,102.37,Mainly Clear,25.0
478,54,9,102.36,Mainly Clear,25.0
479,54,6,102.37,Mostly Cloudy,25.0
480,53,6,102.29,Cloudy,25.0
481,52,0,102.26,Cloudy,25.0
482,53,0,102.27,Cloudy,25.0
483,60,7,102.23,Cloudy,25.0
484,58,7,102.18,Cloudy,25.0
485,50,11,102.08,Cloudy,25.0
486,52,9,101.98,Cloudy,25.0
487,50,9,102.04,Cloudy,25.0
488,52,9,102.06,Cloudy,25.0
489,65,13,102.11,Snow,24.1
490,65,17,102.12,Snow,24.1
491,64,19,102.09,Snow,24.1
492,62,15,102.03,Mostly Cloudy,24.1
493,59,15,102.01,Mainly Clear,24.1
494,55,13,102.01,Clear,24.1
495,56,11,102.06,Clear,24.1
496,55,7,102.11,Clear,48.3
497,53,11,102.16,Clear,48.3
498,55,6,102.24,Clear,25.0
499,58,4,102.27,Clear,25.0
500,60,4,102.36,Clear,25.0
501,66,9,102.47,Clear,25.0
502,61,0,102.52,Clear,25.0
503,69,0,102.54,Mainly Clear,25.0
504,70,0,102.57,Clear,25.0
505,72,4,102.64,Clear,25.0
506,70,0,102.71,Clear,25.0
507,67,0,102.75,Cloudy,16.1
508,69,0,102.79,Mainly Clear,25.0
509,71,6,102.84,Mainly Clear,16.1
510,71,6,102.85,Freezing Fog,0.8
511,69,6,102.91,Mainly Clear,12.9
512,74,4,102.98,Mainly Clear,24.1
513,78,7,103.01,Mostly Cloudy,48.3
514,80,9,103.02,Fog,8.0
515,81,6,103.04,Fog,8.0
516,73,9,102.97,Haze,8.0
517,68,11,102.86,Haze,8.0
518,65,9,102.74,Cloudy,16.1
519,63,9,102.65,Cloudy,16.1
520,59,6,102.6,Cloudy,19.3
521,60,19,102.57,Cloudy,19.3
522,63,19,102.52,Mostly Cloudy,19.3
523,62,19,102.47,Mostly Cloudy,19.3
524,69,15,102.44,Mainly Clear,19.3
525,70,15,102.38,Clear,16.1
526,73,13,102.33,Mostly Cloudy,16.1
527,73,9,102.28,Mainly Clear,16.1
528,71,11,102.22,Mostly Cloudy,25.0
529,70,11,102.14,Mainly Clear,25.0
530,72,13,102.1,Mostly Cloudy,25.0
531,73,13,101.99,Cloudy,25.0
532,72,11,101.88,Cloudy,25.0
533,73,11,101.79,Cloudy,25.0
534,73,7,101.76,Cloudy,25.0
535,73,13,101.67,Mostly Cloudy,25.0
536,74,11,101.69,Mostly Cloudy,24.1
537,72,11,101.59,Mostly Cloudy,48.3
538,72,9,101.58,Mostly Cloudy,48.3
539,72,11,101.49,Cloudy,48.3
540,71,6,101.33,Cloudy,48.3
541,75,22,101.14,Cloudy,48.3
542,76,26,101.01,Rain,48.3
543,77,30,100.86,Rain,24.1
544,78,28,100.71,Cloudy,24.1
545,78,28,100.61,Rain,16.1
546,88,19,100.54,"Rain,Fog",4.0
547,88,22,100.43,"Rain,Fog",8.0
548,89,26,100.32,"Drizzle,Fog",9.7
549,89,24,100.22,Drizzle,11.3
550,91,28,100.1,Cloudy,25.0
551,90,22,100.08,Cloudy,25.0
552,92,17,100.04,Rain,12.9
553,92,19,100.04,Cloudy,16.1
554,93,9,100.09,Rain,9.7
555,91,19,100.19,Rain,9.7
556,81,30,100.25,Cloudy,25.0
557,76,41,100.37,Cloudy,25.0
558,75,28,100.45,Cloudy,25.0
559,75,26,100.49,Cloudy,16.1
560,71,28,100.52,Mostly Cloudy,19.3
561,71,30,100.6,Cloudy,24.1
562,70,35,100.65,Cloudy,24.1
563,70,33,100.7,Cloudy,24.1
564,67,30,100.72,Cloudy,24.1
565,69,39,100.73,Cloudy,24.1
566,71,35,100.75,Rain,24.1
567,74,26,100.8,Snow,19.3
568,74,30,100.82,Cloudy,24.1
569,73,26,100.88,Snow Showers,24.1
570,72,22,100.95,Snow Showers,25.0
571,71,32,101.01,Snow Showers,25.0
572,72,19,101.06,Cloudy,25.0
573,74,20,101.11,Mostly Cloudy,25.0
574,72,22,101.13,Mostly Cloudy,25.0
575,72,28,101.16,Snow Showers,25.0
576,69,28,101.2,Cloudy,25.0
577,68,22,101.26,Mostly Cloudy,25.0
578,66,20,101.37,Mostly Cloudy,25.0
579,65,24,101.45,Cloudy,25.0
580,67,24,101.52,Cloudy,25.0
581,64,33,101.58,Mostly Cloudy,25.0
582,62,35,101.66,Mostly Cloudy,25.0
583,63,37,101.79,Mostly Cloudy,25.0
584,62,26,101.94,Mostly Cloudy,24.1
585,62,28,102.05,Cloudy,24.1
586,62,22,102.09,Mostly Cloudy,24.1
587,60,19,102.14,Mostly Cloudy,24.1
588,59,20,102.06,Mostly Cloudy,24.1
589,58,20,102.01,Mainly Clear,24.1
590,60,22,101.98,Mainly Clear,24.1
591,59,22,101.94,Mainly Clear,24.1
592,59,19,101.96,Mostly Cloudy,24.1
593,60,20,102.01,Mainly Clear,24.1
594,61,11,102.07,Mainly Clear,25.0
595,62,13,102.14,Mostly Cloudy,25.0
596,59,7,102.07,Mostly Cloudy,25.0
597,64,7,102.01,Mostly Cloudy,25.0
598,64,0,101.99,Mostly Cloudy,25.0
599,63,6,102.01,Mostly Cloudy,25.0
600,64,6,101.99,Mostly Cloudy,25.0
601,67,4,101.95,Clear,25.0
602,71,6,101.99,Clear,25.0
603,71,0,101.97,Clear,25.0
604,67,0,101.95,Clear,25.0
605,68,6,102.02,Clear,25.0
606,73,6,102.06,Clear,25.0
607,74,6,102.01,Mainly Clear,24.1
608,72,6,102.08,Clear,24.1
609,70,11,102.01,Mainly Clear,24.1
610,59,11,102.04,Mainly Clear,24.1
611,57,7,102.05,Mainly Clear,24.1
612,54,11,101.88,Mainly Clear,24.1
613,54,15,101.71,Mostly Cloudy,24.1
614,49,11,101.6,Mostly Cloudy,24.1
615,42,13,101.53,Mostly Cloudy,24.1
616,52,19,101.52,Cloudy,24.1
617,54,20,101.4,Cloudy,24.1
618,49,24,101.28,Cloudy,25.0
619,49,17,101.25,Cloudy,25.0
620,52,17,101.15,Snow Showers,25.0
621,58,20,100.99,Snow,25.0
622,68,22,100.92,Snow,16.1
623,77,22,100.81,Snow,6.4
624,79,28,100.68,Snow,4.8
625,81,24,100.58,Snow,2.4
626,81,26,100.47,Snow,3.2
627,81,28,100.33,Snow,4.0
628,81,26,100.13,Snow,2.4
629,82,22,99.98,Snow,16.1
630,86,19,99.8,Snow,19.3
631,86,22,99.61,Freezing Rain,16.1
632,86,20,99.47,Freezing Rain,12.9
633,86,17,99.34,Rain,12.9
634,88,17,99.18,"Rain,Fog",8.0
635,88,20,99.08,"Drizzle,Fog",2.4
636,89,20,98.91,"Drizzle,Fog",2.8
637,88,22,98.76,"Drizzle,Fog",3.2
638,88,20,98.69,"Drizzle,Fog",2.4
639,87,19,98.65,"Drizzle,Fog",2.4
640,86,19,98.74,"Freezing Drizzle,Fog",8.0
641,88,22,98.97,Snow,2.8
642,90,11,99.13,Snow,2.4
643,88,30,99.31,Snow,12.9
644,86,32,99.54,Cloudy,16.1
645,82,19,99.75,Cloudy,24.1
646,81,19,99.88,Mostly Cloudy,25.0
647,81,20,100.03,Mainly Clear,25.0
648,81,19,100.19,Mainly Clear,25.0
649,82,22,100.34,Snow Showers,25.0
650,81,24,100.49,Mostly Cloudy,25.0
651,78,17,100.59,Mostly Cloudy,25.0
652,77,15,100.64,Mostly Cloudy,25.0
653,80,19,100.72,Mostly Cloudy,25.0
654,76,9,100.79,Mostly Cloudy,25.0
655,78,11,100.85,Mainly Clear,25.0
656,80,7,100.91,Mainly Clear,48.3
657,81,13,100.93,Mostly Cloudy,24.1
658,78,13,100.94,Cloudy,48.3
659,80,6,100.9,Cloudy,48.3
660,80,7,100.74,Mostly Cloudy,48.3
661,72,4,100.58,Cloudy,48.3
662,71,9,100.48,Cloudy,48.3
663,70,15,100.28,Cloudy,48.3
664,69,22,100.14,Cloudy,48.3
665,71,11,100.16,Cloudy,48.3
666,69,9,100.08,Cloudy,25.0
667,71,19,100.09,Snow,19.3
